# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
# Edit by the french player
# Finish by heretoc
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:					Anglais
Scripts.Player.Boat.Help.Delete:			'/boat delete' - Donne la confirmation pour effacer votre bateau !!permanent!!
Scripts.Player.Boat.Help.Follow:			'/boat follow' - Donne l'ordre a votre navire de suivre votre cible.
Scripts.Player.Boat.Help.StopFollow:			'/boat stopfollow' - Donne l'ordre a votre navire d'arreter de suivre votre cible.
Scripts.Player.Boat.Help.Summon:			'/boat summon' - Mais à l'eau votre bateau.
Scripts.Player.Boat.Help.Unsummon:			'/boat unsummon' - Range votre bateau.
Scripts.Player.Boat.InviteNoSelf:			Vous ne pouvez pas vous inviter!
Scripts.Player.Boat.InviteRecieved:			{0} est inviter à joindre le navire.
Scripts.Player.Boat.InviteSent:				Vous avez inviter {0} à rejoindre le bateau.
Scripts.Player.Boat.MoveFollow:				Votre navire suis maintenant {0}.
Scripts.Player.Boat.NoBoatSelected:			Vous devez choisir un bateau!
Scripts.Player.Boat.NoPlayerSelected:			Vous devez selectionner un joueur.
Scripts.Player.Boat.NotInWater:				Vous devez être dans l'eau pour invoquer votre navire!
Scripts.Player.Boat.NotOwnBoat:				Vous ne possédez pas de bateau.
Scripts.Player.Boat.OwnerNotOn:				Le propriétaire de ce bateau n'est pas en ligne.
Scripts.Player.Boat.PlayerIsDead:			Vous ne pouvez pas faire cela avec un joueur mort!
Scripts.Player.Boat.StopFollow:				Vous arretez votre bateau.
Scripts.Player.Boat.Summoned:				Votre {0} a été mis à l'eau.
Scripts.Player.Boat.TargetNotInBoat:			{0} n'est pas dans votre bateau.
Scripts.Player.Boat.UnknownCommand:			Ce n'est pas une commande valide pour les navires. /boat pour de l'aide.
Scripts.Player.Boat.Unsummoned:				Votre {0} a été ranger.
Scripts.Player.Boat.Usage:				Utilisation:
Scripts.Player.Boat.YouBoard:				Votre bateau le {0}.

# /Boot
Scripts.Players.Boot.InHouseError:			Vous devez être dans votre maison pour utiliser cette commande!
Scripts.Players.Boot.NoHouseError:			Vous ne possédez pas de maison!
Scripts.Players.Boot.NoOneOnline:			Aucun joueur portant ce nom n'est en ligne!
Scripts.Players.Boot.YouRemoved:			Vous avez été éjecté de la maison par {0}!

# /Bountyrent
Scripts.Players.Bountyrent.InHouseError:	Vous devez être dans votre maison pour utiliser cette commande!
Scripts.Players.Bountyrent.NoHouseError:	Vous ne possédez pas de maison!

# /Broadcast
Scripts.Players.Broadcast.Message:			[Region] {0} : {1}
Scripts.Players.Broadcast.NoHere:			Vous ne pouvez pas diffuser dans le canal régional ici.
Scripts.Players.Broadcast.NoText:			Vous devez dire quelque-chose...

# /Cancelstyle
Scripts.Players.Cancelstyle.Set:			L'annulation de style est maintenant {0}.

# /Chatgroup
Scripts.Players.Chatgroup.Help.Help:			/cg help - Affiche toutes les commandes du groupe de discussion
Scripts.Players.Chatgroup.Help.Invite:			/cg invite [nom du joueur] - Invite le joueur spécifié à rejoindre le groupe de discussion
Scripts.Players.Chatgroup.Help.JoinPrivate:		/cg join [moderateur] [mot de passe] - Rejoindre un groupe de discussion protégé par un mot de passe	
Scripts.Players.Chatgroup.Help.JoinPublic:		/cg join [moderateur] - Rejoindre un groupe de discussion
Scripts.Players.Chatgroup.Help.Leader:			/cg leader <nom> - Promouvoir un autre joueur comme chef du groupe de discussion; Ce joueur peut inviter d'autre joueurs à rejoindre le canal et peut parler quand le canal est en mode écoute.
Scripts.Players.Chatgroup.Help.Leave:			/cg leave - Quitter le groupe de discussion
Scripts.Players.Chatgroup.Help.Listen:			/cg listen - Mettre le groupe de discussion en mode écoute; seul le modérateur et les leads peuvent parler
Scripts.Players.Chatgroup.Help.PasswordClear:	/cg password clear - Efface le mot de passe actuel (moderateur uniquement)	
Scripts.Players.Chatgroup.Help.PasswordDisplay:	/cg password - Affiche le mot de passe actuel (moderateur uniquement)	
Scripts.Players.Chatgroup.Help.PasswordNew:		/cg password [nouveau mot de passe]	- Change le mot de passe actuel
Scripts.Players.Chatgroup.Help.Private:			/cg private - Définir le groupe de discussion comme étant privé
Scripts.Players.Chatgroup.Help.Public:			/cg public - Définir le groupe de discussion comme étant publique, tout le monde peut rejoindre
Scripts.Players.Chatgroup.Help.Remove:			/cg remove [nom du joueur] - Ejecte le joueur spécifié du groupe de discussion
Scripts.Players.Chatgroup.Help.Usage:			/cg usage:
Scripts.Players.Chatgroup.Help.Who:				/cg who - Liste tous les membres du groupe de discussion
Scripts.Players.Chatgroup.InChatGroup:			Vous devez être dans un groupe de discussion pour utiliser cette commande.
Scripts.Players.Chatgroup.InviteYourself:		Vous ne pouvez pas vous inviter vous même dans un groupe de discussion.	
Scripts.Players.Chatgroup.JoinChatGroup:		Voulez vous rejoindre le groupe de discussion de {0} ?	
Scripts.Players.Chatgroup.LeaderCommand:		Vous devez être le modérateur du groupe de discussion pour utiliser cette commande.	
Scripts.Players.Chatgroup.LeaderInvite:			Vous devez être le modérateur du groupe de discussion pour inviter un joueur à le rejoindre.
Scripts.Players.Chatgroup.ListenMode:			The listen mode of chatgroup is switch 
Scripts.Players.Chatgroup.Moderator:			{0} est maintenant moderateur du groupe de discussion.
Scripts.Players.Chatgroup.NoPlayer:				Il n'y a pas de joueur de ce nom.
Scripts.Players.Chatgroup.NotChatGroupLeader:	Ce joueur n'est pas modérateur d'un groupe de discussion.	
Scripts.Players.Chatgroup.NotChatGroupMember:	Ce joueur n'est pas membre d'un groupe de discussion.	
Scripts.Players.Chatgroup.NotPublic:			Ce groupe de discussion n'est pas publique.
Scripts.Players.Chatgroup.OnlyModerator:		Seul le modérateur peut parler dans ce groupe de discussion.	
Scripts.Players.Chatgroup.OwnChatGroup:			Vous ne pouvez pas rejoindre votre propre groupe de discussion.
Scripts.Players.Chatgroup.Password:				Mot de passe de ce groupe de discussion: {0}.
Scripts.Players.Chatgroup.PasswordChanged:		Nouveau mot de passe du groupe de discussion: {0}.	
Scripts.Players.Chatgroup.PlayerInChatgroup:	{0} est déjà membre d'un groupe de discussion.	
Scripts.Players.Chatgroup.Private:				Le groupe de discussion est maintenant privé.
Scripts.Players.Chatgroup.Public:				Le groupe de discussion est maintenant publique.
Scripts.Players.Chatgroup.Usage:				Usage: /c <texte>
Scripts.Players.Chatgroup.UsageInvite:			Usage: /cg invite <nom du joueur>"

# /GC
Scripts.Players.Guild.AllianceInfo:			Information d'Alliance pour {0}:
Scripts.Players.Guild.AllianceLeader:			Chef d'Alliance {0}
Scripts.Players.Guild.AllianceMembers:			Membres de l'Alliance:
Scripts.Players.Guild.AllianceMember:			{0} - {1}
Scripts.Players.Guild.AllianceNoLeader:			Pas de chef d'Alliance

# /Cmdhelp
Scripts.Players.Cmdhelp.NoCommand:			La commande {0} n'existe pas.
Scripts.Players.Cmdhelp.PlvlCommands:		<----------Commandes disponibles pour le niveau de privilège {0}---------->
Scripts.Players.Cmdhelp.Usage:				>----------Usage pour {0}----------<

# /Disband
Scripts.Players.Disband.Disbanded:			{o} a quitté le groupe.
Scripts.Players.Disband.NoPlayer:			Pas de joueur de ce nom dans le groupe.
Scripts.Players.Disband.NotInGroup:			Vous n'êtes pas dans un groupe.
Scripts.Players.Disband.NotLeader:			Vous n'êtes pas le chef du groupe.
Scripts.Players.Disband.NoYourself:			Vous ne pouvez pas vous dégrouper de cette manière.

# /Dismount
Scripts.Players.Dismount:					Vous n'êtes pas à cheval.

# /Duel
Scripts.Players.Duel.ChallengesYou:			{0} vous défie en duel! /duel accept pour accepter, /duel decline pour refuser.
Scripts.Players.Duel.DuelOptions:			/duel options : challenge/decline/cancel/surrender/accept
Scripts.Players.Duel.EnemyRealm:			Vous ne pouvez pas défier un membre d'un royaume ennemi.
Scripts.Players.Duel.NeedTarget:			Vous devez cibler quelqu'un pour le défier!
Scripts.Players.Duel.ConsideringDuel:		Vous n'êtes pas défié en duel.
Scripts.Players.Duel.NotInDuel:				Vous n'êtes pas en duel!
Scripts.Players.Duel.PlayerVsPlayer:		{0} se rend à {1}!
Scripts.Players.Duel.SafeZone:				Vous êtes dans une zone sécurisée et ne pouvez vous battre en duel ici!
Scripts.Players.Duel.TargetAccept:			{0} accepte le duel.  Le combat peut commencer!
Scripts.Players.Duel.TargetAlreadyChallenging:		{0} a déjà défié quelqu'un en duel.
Scripts.Players.Duel.TargetAlreadyConsidering:		{0} est déjà défié par quelqu'un d'autre.
Scripts.Players.Duel.TargetCancel:			{0} son invitation au duel.	
Scripts.Players.Duel.TargetDeclines:		{0} décline votre invitation.
Scripts.Players.Duel.TargetHealth:			Votre cible doit avoir sa vie au maximum.
Scripts.Players.Duel.TargetInCombat:		{0} est en combat.
Scripts.Players.Duel.TargetInDuel:			{0} est déjà en duel.
Scripts.Players.Duel.TargetInGroup:			{0} est dans un groupe.
Scripts.Players.Duel.TargetSurrender:		{0} se rend à vous!
Scripts.Players.Duel.YouAccept:				Vous acceptez le duel!  Le combat peut commencer!
Scripts.Players.Duel.YouAlreadyChallenging:	Vous avez déjà défié {0} en duel. Annulez cette invitation pour défier quelqu'un d'autre.
Scripts.Players.Duel.YouAlreadyConsidering:	Vous êtes déjà défié en duel par {0}. Refusez son invitation avant de défier quelqu'un d'autre.
Scripts.Players.Duel.YouCancel:				Vous annulez votre invitation au duel.
Scripts.Players.Duel.YouChallenge:			Vous défiez {0} en duel!
Scripts.Players.Duel.YouDecline:			Vous refuser l'invitation au duel de {0}.
Scripts.Players.Duel.YouHaventChallenged:	Vous n'avez défié personne à un duel.
Scripts.Players.Duel.YouHealth:				Vous devez avoir votre maximum de points de vie.
Scripts.Players.Duel.YouInCombat:			Vous êtes en combat.
Scripts.Players.Duel.YouInDuel:				Vous êtes déjà en duel.
Scripts.Players.Duel.YouInGroup:			Vous êtes dans un groupe.
Scripts.Players.Duel.YouSurrender:			Vous vous rendez à {0}!

# /Language
Scripts.Players.Language.Set:				Vous changez la langue d'affichage du serveur en {0}.
Scripts.Players.Language.Current:			La langue d'affichage est actuellement: {0}.


# /Range
Scripts.Players.Range.InvalidObject:			Cette commande fonctionne uniquement sur les objets.
Scripts.Players.Range.NeedTarget:			Distance de la cible: Vous n'avez pas un cible valide sélectionnée.
Scripts.Players.Range.NotVisible:			 (Cible hors champ de vision)
Scripts.Players.Range.Result:				Distance de la cible: {0} units. {1}


# TITLES
# /Claim
Titles.Claim.Frontier.FrontierChallenger: Défenseur des Frontieres
Titles.Claim.Frontier.FrontierVindicator: Gardien des Frontières
Titles.Claim.Stronghold.StrongholdChief: Meneur de Siège
Titles.Claim.Stronghold.StrongholdSoldier: Assiégeant de Forts
# /Deathblows
Titles.Deathblows.BattleEnforcer: Combattant redoutable
Titles.Deathblows.BattleMaster: Maître des batailles
# /Kills
Titles.Kills.Albion.BaneOfAlbion: Fléau d’Albion
Titles.Kills.Albion.ScourgeOfAlbion: Calamité d'Albion
Titles.Kills.All.MasterAssassine: Master Assassin
Titles.Kills.All.MasterEnforcer: Maître Commandant
Titles.Kills.All.MasterSoldier: Maître Assaillant
Titles.Kills.Demon.DemonBane: Menace des Démons
Titles.Kills.Demon.DemonScourge: Tueur de Démons
Titles.Kills.Demon.DemonSlayer: Chasseur de Démons
Titles.Kills.Demon.DreadVanquisher: Terreur des Démons
Titles.Kills.Dragon.DragonFoe: Chasseur de Dragons
Titles.Kills.Dragon.DragonScourge: Menace des Dragons
Titles.Kills.Dragon.DragonSlayer: Tueur de Dragons
Titles.Kills.Epic.EpicChallenger: Chasseur de Légendes
Titles.Kills.Epic.EpicVictor: Donjon epiques
Titles.Kills.Hibernia.BaneOfHibernia: Fléau d'Hibernia
Titles.Kills.Hibernia.ScourgeOfHibernia: Calamité d'Hibernia
Titles.Kills.Midgard.BaneOfMidgard: Fléau de Midgard
Titles.Kills.Midgard.ScourgeOfMidgard: Calamité de Midgard
# /Level
Titles.Level.Level20Info: Level 20+
Titles.Level.Level20: Level {0}
# /PrivLevel
Titles.PrivLevel.Administrator: Administrateur
Titles.PrivLevel.Gamemaster: Maître des jeux
# /Solokills
Titles.Solokills.DuelMaster: Duel Master
Titles.Solokills.LoneEnforcer: Aventurier Solitaire
# /Time
Titles.Time.Account.ElderTitle: Elder
Titles.Time.Character.Veteran: Vétèran
# /CL
Titles.CL.Level1: Emissaire du Roy
Titles.CL.Level2: Main du Roy
Titles.CL.Level3: Protecteur du Roy
Titles.CL.Level4: Flambeau du Roy
Titles.CL.Level5: Pourfendeur du Mal
Titles.CL.Level6: Allié des Minotaures
Titles.CL.Level7: Champion Légendaire
Titles.CL.Level8: Champion Vénéré
Titles.CL.Level9: Champion Éternel
Titles.CL.Level10: Héros Suprême

# PLAYER STATISTIC
# /Kills
PlayerStatistic.Kill.Title: Enemies tués
PlayerStatistic.Kill.AlbionPlayer: Albionnais tués
PlayerStatistic.Kill.HiberniaPlayer: Hiberniens tués
PlayerStatistic.Kill.MidgardPlayer: Midgardiens tués
PlayerStatistic.Kill.TotalPlayers: Total d'ennemies tués

# /Deathblows
PlayerStatistic.Deathblows.AlbionPlayer: Coups fatals,Albion
PlayerStatistic.Deathblows.HiberniaPlayer: Coups fatals,Hibernia
PlayerStatistic.Deathblows.MidgardPlayer: Coups fatals,Midgard
PlayerStatistic.Deathblows.TotalPlayers: Total Coups fatals

# /Solo
PlayerStatistic.Solo.AlbionPlayer: Albionnais tués seul
PlayerStatistic.Solo.HiberniaPlayer: Hiberniens tués seul
PlayerStatistic.Solo.MidgardPlayer: Midgardiens tués seul
PlayerStatistic.Solo.TotalPlayers: Total d'ennemies tués seul

# /Capture
PlayerStatistic.Capture.Title: Captures de fort
PlayerStatistic.Capture.Keeps: Forts capturés
PlayerStatistic.Capture.Towers: Tours capturées
# /PvE
PlayerStatistic.PvE.Title: Reports PvE
PlayerStatistic.PvE.KillsDragon: Nombre de Dragons tués
PlayerStatistic.PvE.KillsEpic: Nombre de Boss épiques tués
PlayerStatistic.PvE.KillsLegion: Nombre de Legion tués

# VIEWREPORTS
Scripts.Player.VeiwReport.Usage: Usage:
Scripts.Player.ViewReport.Help.Close: '/viewreport close <report #>' Ferme le report de bug d'id #.
Scripts.Player.ViewReport.Help.Delete: '/viewreport delete <report #' Efface les reports d'id #.
Scripts.Player.ViewReport.InvalidReport: Ce n'est pas un report de bug valide.
Scripts.Player.ViewReport.UnknownCommand: Ce n'est pas une commande valide.
Scripts.Player.ViewReport.ReportDeleted: Report {0} est maintenant effacer.
Scripts.Player.ViewReport.NoPriv: Vous n'avez pas les privilége pour edit les reports.

